COHORT,COHORT_TYPE,QUESTIONNAIRE_VARIABLE,VARIABLE_DESCRIPTION,POSITIVE_GROUP_RESPONSE,NEGATIVE_GROUP_RESPONSE,SPECIAL_EXCLUSION_CRITIERIA,REMOVED_MATCHING_VARIABLES
high_fat_red_meat_frequency_regular_cohort,frequency group - binary,high_fat_red_meat_frequency,"How often the participant eats at least one serving of high fat red meats, including prime rib, hamburger, bacon, and ribs.",Regularly (3-5 times/week)/Daily,Never,None,None
homecooked_meals_frequency_daily_cohort,frequency group - binary,homecooked_meals_frequency,How often does the participant consume meals cooked at home?,Daily,Never,None,None
homecooked_meals_frequency_occasional_cohort,frequency group - binary,homecooked_meals_frequency,How often does the participant consume meals cooked at home?,Occasionally (1-2 times/week),Never,None,None
homecooked_meals_frequency_regular_cohort,frequency group - binary,homecooked_meals_frequency,How often does the participant consume meals cooked at home?,Regularly (3-5 times/week),Never,None,None
IBD_cohort,binary (special matching/exclusion),ibd,Has the participant been diagnosed with inflammatory bowel disease,Diagnosed by a medical professional (doctor/physician assistant),I do not have this condition,Includes IBD,None
ibs,standard binary,ibs,Has the participant been diagnosed with irritable bowel syndrome,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
iud_cohort,binary (special matching/exclusion),contraceptive,Does the participant use contraceptives?,Yes I use a hormonal IUD (Mirena),No,Excludes Males,sex
kidney_disease,standard binary,kidney_disease,Does the participant have a kidney disease,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
lactose,standard binary,lactose,Is the participant lactose intolerant,Yes,No,None,None
liver_disease,standard binary,liver_disease,Does the participant have a liver disease,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
livingwith,standard binary,livingwith,"Participant lives with other people who have submitted samples, maps to roommates",Yes,No,None,None
lowgrain_diet_type,standard binary,lowgrain_diet_type,Does the participant eat a low grain diet,Yes,No,None,None
lung_disease,standard binary,lung_disease,"Does the participant have diagnosed lung disease (asthma, COPD, etc)","Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
meat_eggs_frequency_daily_cohort,frequency group - binary,meat_eggs_frequency,How of the participant eats meat or eggs,Daily,Never,None,meat_eggs_frequency
meat_eggs_frequency_occasional_cohort,frequency group - binary,meat_eggs_frequency,How of the participant eats meat or eggs,Occasionally (1-2 times/week),Never,None,meat_eggs_frequency
meat_eggs_frequency_rare_cohort,frequency group - binary,meat_eggs_frequency,How of the participant eats meat or eggs,Rarely (a few times/month),Never,None,meat_eggs_frequency
meat_eggs_frequency_regular_cohort,frequency group - binary,meat_eggs_frequency,How of the participant eats meat or eggs,Regularly (3-5 times/week),Never,None,meat_eggs_frequency
mental_illness,standard binary,mental_illness,does the participant have a mental illness,Yes,No,None,None
mental_illness_type_depression,standard binary,mental_illness_type_depression,does the participant have unipolar depression,Yes,No,None,None
migraine,standard binary,migraine,Has the participant been diagnosed with migraines,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
milk_cheese_frequency_daily_cohort,frequency group - binary,milk_cheese_frequency,How frequently the participant eats milk or cheese,Daily,Never,None,milk_cheese_frequency
milk_cheese_frequency_occasional_cohort,frequency group - binary,milk_cheese_frequency,How frequently the participant eats milk or cheese,Occasionally (1-2 times/week),Never,None,milk_cheese_frequency
milk_cheese_frequency_rare_cohort,frequency group - binary,milk_cheese_frequency,How frequently the participant eats milk or cheese,Rarely (a few times/month),Never,None,milk_cheese_frequency
milk_cheese_frequency_regular_cohort,frequency group - binary,milk_cheese_frequency,How frequently the participant eats milk or cheese,Regularly (3-5 times/week),Never,None,None
milk_substitute_frequency_daily_cohort,frequency group - binary,milk_substitute_frequency,"How often the participant drinks a milk substitute like soy, rice or almond milk",Daily,Never,None,None
milk_substitute_frequency_occasional_cohort,frequency group - binary,milk_substitute_frequency,"How often the participant drinks a milk substitute like soy, rice or almond milk",Occasionally (1-2 times/week),Never,None,None
milk_substitute_frequency_rare_cohort,frequency group - binary,milk_substitute_frequency,"How often the participant drinks a milk substitute like soy, rice or almond milk",Rarely (a few times/month),Never,None,None
milk_substitute_frequency_regular_cohort,frequency group - binary,milk_substitute_frequency,"How often the participant drinks a milk substitute like soy, rice or almond milk",Regularly (3-5 times/week),Never,None,None
multivitamin,standard binary,multivitamin,Does the participant take a multivitamin,Yes,No,None,None
nail_biter,standard binary,nail_biter,Does the participant bites their nails,Yes,No,None,None
no_gluten_cohort,binary (special matching/exclusion),gluten,Does the participant follow a gluten free diet?,I do not eat gluten because it makes me feel bad,No,None,None
non_food_allergies_beestings,standard binary,non_food_allergies_beestings,Is the participant allergic to bee stings,Yes,No,None,None
non_food_allergies_drug_eg_penicillin,standard binary,non_food_allergies_drug_eg_penicillin,Is the participant allergic to some type of drug,Yes,No,None,None
non_food_allergies_pet_dander,standard binary,non_food_allergies_pet_dander,Is the participant is allergic to pet dander,Yes,No,None,None
non_food_allergies_poison_ivyoak,standard binary,non_food_allergies_poison_ivyoak,Is the participant is allergic to poison ivy or poison oak,Yes,No,None,None
non_food_allergies_sun,standard binary,non_food_allergies_sun,Is the participant is allergic to sun,Yes,No,None,None
nplant_11_20_cohort,binary (special matching/exclusion),types_of_plants,Number of plant species eaten in week of observation,11 to 20,Less than 5,None,None
nplant_21_30_cohort,binary (special matching/exclusion),types_of_plants,Number of plant species eaten in week of observation,21 to 30,Less than 5,None,None
nplant_30_plus_cohort,binary (special matching/exclusion),types_of_plants,Number of plant species eaten in week of observation,More than 30,Less than 5,None,None
nplant_6_10_cohort,binary (special matching/exclusion),types_of_plants,Number of plant species eaten in week of observation,6 to 10,Less than 5,None,None
Obese_cohort,binary (special matching/exclusion),bmi_cat,"The body mass index, categorized according to the WHO. This is calculated from the bmi_corrected column.",Obese,Normal,includes 30.0 <= BMI <= 60.0,bmi
olive_oil_daily_cohort,frequency group - binary,olive_oil,How often does the participant use olive oil in cooking,Daily,Never,None,None
olive_oil_occasional_cohort,frequency group - binary,olive_oil,How often does the participant use olive oil in cooking,Occasionally (1-2 times/week),Never,None,None
olive_oil_rare_cohort,frequency group - binary,olive_oil,How often does the participant use olive oil in cooking,Rarely (a few times/month),Never,None,None
olive_oil_regular_cohort,frequency group - binary,olive_oil,How often does the participant use olive oil in cooking,Regularly (3-5 times/week),Never,None,None
omnivore_noRed_cohort,binary (special matching/exclusion),diet_type,High level diet categorization,Omnivore but do not eat red meat,Omnivore,None,diet_type
one_liter_of_water_a_day_frequency_daily_cohort,frequency group - binary,one_liter_of_water_a_day_frequency,How often the participant drinks at least a liter or waters (32 oz),Daily,Never/Rarely (a few times/month),None,None
one_liter_of_water_a_day_frequency_occasional_cohort,frequency group - binary,one_liter_of_water_a_day_frequency,How often the participant drinks at least a liter or waters (32 oz),Occasionally (1-2 times/week),Never/Rarely (a few times/month),None,None
one_liter_of_water_a_day_frequency_regular_cohort,frequency group - binary,one_liter_of_water_a_day_frequency,How often the participant drinks at least a liter or waters (32 oz),Regularly (3-5 times/week),Never/Rarely (a few times/month),None,None
other_supplement,standard binary,other_supplement_frequency,How frequently the participant takes a supplement other than Vitamin B or Vitamin D (binary),Yes,No,None,None
Overweight_cohort,binary (special matching/exclusion),bmi_cat,"The body mass index, categorized according to the WHO. This is calculated from the bmi_corrected column.",Overweight,Normal,None,bmi
pescatarian_cohort,binary (special matching/exclusion),diet_type,High level diet categorization,Vegetarian but eat seafood,Omnivore,None,diet_type
pets_other,standard binary,pets_other,Does a participant have a pet that is not a cat or dog,Yes,No,None,None
pill_cohort,binary (special matching/exclusion),contraceptive,Does the participant use contraceptives?,"Yes I am taking the ""pill""",No,Excludes Males,sex
poultry_frequency_occasional_cohort,frequency group - binary,poultry_frequency,"How often does the participant consume chicken, tukey, or other poultry",Occasionally (1-2 times/week),Never,None,None
poultry_frequency_rare_cohort,frequency group - binary,poultry_frequency,"How often does the participant consume chicken, tukey, or other poultry",Rarely (a few times/month),Never,None,None
poultry_frequency_regular_cohort,frequency group - binary,poultry_frequency,"How often does the participant consume chicken, tukey, or other poultry",Regularly (3-5 times/week)/Daily,Never,None,None
prepared_meals_frequency_occasional_cohort,frequency group - binary,prepared_meals_frequency,"frequency with which the participant eats out at a resturaunt, including carryout",Occasionally (1-2 times/week),Never,None,None
prepared_meals_frequency_rare_cohort,frequency group - binary,prepared_meals_frequency,"frequency with which the participant eats out at a resturaunt, including carryout",Rarely (a few times/month),Never,None,None
prepared_meals_frequency_regular_cohort,frequency group - binary,prepared_meals_frequency,"frequency with which the participant eats out at a resturaunt, including carryout",Regularly (3-5 times/week)/Daily,Never,None,None
probiotic_frequency_daily_cohort,frequency group - binary,probiotic_frequency,how often the participant uses a probiotic,Daily,Never,None,None
probiotic_frequency_occasional_cohort,frequency group - binary,probiotic_frequency,how often the participant uses a probiotic,Occasionally (1-2 times/week),Never,None,None
probiotic_frequency_rare_cohort,frequency group - binary,probiotic_frequency,how often the participant uses a probiotic,Rarely (a few times/month),Never,None,None
probiotic_frequency_regular_cohort,frequency group - binary,probiotic_frequency,how often the participant uses a probiotic,Regularly (3-5 times/week),Never,None,None
ready_to_eat_meals_frequency_occasional_cohort,frequency group - binary,ready_to_eat_meals_frequency,frequency of consuming market/external source prepared foods (i.e. not home-cooked),Occasionally (1-2 times/week),Never,None,None
ready_to_eat_meals_frequency_rare_cohort,frequency group - binary,ready_to_eat_meals_frequency,frequency of consuming market/external source prepared foods (i.e. not home-cooked),Rarely (a few times/month),Never,None,None
ready_to_eat_meals_frequency_regular_cohort,frequency group - binary,ready_to_eat_meals_frequency,frequency of consuming market/external source prepared foods (i.e. not home-cooked),Regularly (3-5 times/week)/Daily,Never,None,None
red_meat_frequency_occasional_cohort,frequency group - binary,red_meat_frequency,how often the participant eats red meat,Occasionally (1-2 times/week),Never,None,None
red_meat_frequency_rare_cohort,frequency group - binary,red_meat_frequency,how often the participant eats red meat,Rarely (a few times/month),Never,None,None
red_meat_frequency_regular_cohort,frequency group - binary,red_meat_frequency,how often the participant eats red meat,Regularly (3-5 times/week)/Daily,Never,None,None
roommates_in_study,standard binary,roommates_in_study,Are any of the roommates in the study,Yes,No,None,None
salted_snacks_frequency_occasional_cohort,frequency group - binary,salted_snacks_frequency,"How frequently the participant eats snaly snacks (chips, pretzels, etc)",Occasionally (1-2 times/week),Never,None,None
salted_snacks_frequency_rare_cohort,frequency group - binary,salted_snacks_frequency,"How frequently the participant eats snaly snacks (chips, pretzels, etc)",Rarely (a few times/month),Never,None,None
salted_snacks_frequency_regular_cohort,frequency group - binary,salted_snacks_frequency,"How frequently the participant eats snaly snacks (chips, pretzels, etc)",Regularly (3-5 times/week)/Daily,Never,None,None
seafood_frequency_occasional_cohort,frequency group - binary,seafood_frequency,How often the participant eats fish,Occasionally (1-2 times/week),Never,None,None
seafood_frequency_rare_cohort,frequency group - binary,seafood_frequency,How often the participant eats fish,Rarely (a few times/month),Never,None,None
seafood_frequency_regular_cohort,frequency group - binary,seafood_frequency,How often the participant eats fish,Regularly (3-5 times/week)/Daily,Never,None,None
seasonal_allergies,standard binary,seasonal_allergies,Does the participant have seasonal allergies,Yes,No,None,None
sibo,standard binary,sibo,Does the the participant have Small Intestinal Bacterial Overgrowth,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
skin_condition,standard binary,skin_condition,Does the participant have a skin condition,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
smoking_frequency_occasional_cohort,frequency group - binary,smoking_frequency,How often the participant smokes,Occasionally (1-2 times/week),Never,None,None
smoking_frequency_rare_cohort,frequency group - binary,smoking_frequency,How often the participant smokes,Rarely (a few times/month),Never,None,None
smoking_frequency_regular_cohort,frequency group - binary,smoking_frequency,How often the participant smokes,Regularly (3-5 times/week)/Daily,Never,None,None
softener,standard binary,softener,Does the participant use fabric softener,Yes,No,None,None
specialized_diet_exclude_dairy,standard binary,specialized_diet_exclude_dairy,Does the participant exclude dairy from their diet,Yes,No,None,None
specialized_diet_exclude_refined_sugars,standard binary,specialized_diet_exclude_refined_sugars,does the participant avoid foods with refined sugars,Yes,No,None,None
specialized_diet_modified_paleo_diet,standard binary,specialized_diet_modified_paleo_diet,the participant eats a modified paleo diet,Yes,No,None,None
specialized_diet_other_restrictions_not_described_here,standard binary,specialized_diet_other_restrictions_not_described_here,the participant has additional dietary restrictions or dietary restrictions not described here,Yes,No,None,None
specialized_diet_paleodiet_or_primal_diet,standard binary,specialized_diet_paleodiet_or_primal_diet,the participant follows a paleo or primal diet,Yes,No,None,None
specialized_diet_westenprice_or_other_lowgrain_low_processed_fo,standard binary,specialized_diet_westenprice_or_other_lowgrain_low_processed_fo,"the participant follows a western price or other low grain, low processed food diet",Yes,No,None,None
sugar_sweetened_drink_frequency_occasional_cohort,frequency group - binary,sugar_sweetened_drink_frequency,"How often the participant drinks sweetened drinks (Soda, Juice)",Occasionally (1-2 times/week),Never,None,None
sugar_sweetened_drink_frequency_rare_cohort,frequency group - binary,sugar_sweetened_drink_frequency,"How often the participant drinks sweetened drinks (Soda, Juice)",Rarely (a few times/month),Never,None,None
sugar_sweetened_drink_frequency_regular_cohort,frequency group - binary,sugar_sweetened_drink_frequency,"How often the participant drinks sweetened drinks (Soda, Juice)",Regularly (3-5 times/week)/Daily,Never,None,None
sugary_sweets_frequency_daily_cohort,frequency group - binary,sugary_sweets_frequency,How often the participant eats sweets.,Daily,Never,None,None
sugary_sweets_frequency_occasional_cohort,frequency group - binary,sugary_sweets_frequency,How often the participant eats sweets.,Occasionally (1-2 times/week),Never,None,None
sugary_sweets_frequency_rare_cohort,frequency group - binary,sugary_sweets_frequency,How often the participant eats sweets.,Rarely (a few times/month),Never,None,None
sugary_sweets_frequency_regular_cohort,frequency group - binary,sugary_sweets_frequency,How often the participant eats sweets.,Regularly (3-5 times/week),Never,None,None
thyroid,standard binary,thyroid,Does the participant have a thyroid disorder,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
tonsils_removed,standard binary,tonsils_removed,Were the participants pharygeal tonsils removed surgically,Yes,No,None,None
uk_immigrant_cohort,binary (special matching/exclusion),country_of_birth,Country of birth,not United Kingdom,United Kingdom,Includes UK residents,None
Underweight_cohort,binary (special matching/exclusion),bmi_cat,"The body mass index, categorized according to the WHO. This is calculated from the bmi_corrected column.",Underweight,Normal,None,bmi
usa_immigrant_cohort,binary (special matching/exclusion),country_of_birth,Country of birth,not USA,USA,Includes USA residents,None
vegan_cohort,binary (special matching/exclusion),diet_type,High level diet categorization,Vegan,Omnivore,None,diet_type
vegetable_frequency_daily_cohort,frequency group - binary,vegetable_frequency,How often the participant eats vegetables,Daily,Never/Rarely (a few times/month),None,vegetable_frequency
vegetable_frequency_occasional_cohort,frequency group - binary,vegetable_frequency,How often the participant eats vegetables,Occasionally (1-2 times/week),Never/Rarely (a few times/month),None,vegetable_frequency
vegetable_frequency_regular_cohort,frequency group - binary,vegetable_frequency,How often the participant eats vegetables,Regularly (3-5 times/week),Never/Rarely (a few times/month),None,vegetable_frequency
vegetarian_cohort,binary (special matching/exclusion),diet_type,High level diet categorization,Vegetarian,Omnivore,None,diet_type
vitamin_b_supplement_frequency_daily_cohort,frequency group - binary,vitamin_b_supplement_frequency,How often the participant uses a Vitamin B supplement,Daily,Never,None,None
vitamin_b_supplement_frequency_occasional_cohort,frequency group - binary,vitamin_b_supplement_frequency,How often the participant uses a Vitamin B supplement,Occasionally (1-2 times/week),Never,None,None
vitamin_b_supplement_frequency_rare_cohort,frequency group - binary,vitamin_b_supplement_frequency,How often the participant uses a Vitamin B supplement,Rarely (a few times/month),Never,None,None
vitamin_b_supplement_frequency_regular_cohort,frequency group - binary,vitamin_b_supplement_frequency,How often the participant uses a Vitamin B supplement,Regularly (3-5 times/week),Never,None,None
vitamin_d_supplement_frequency_daily_cohort,frequency group - binary,vitamin_d_supplement_frequency,How often the participant uses a Vitamin D supplement,Daily,Never,None,None
vitamin_d_supplement_frequency_occasional_cohort,frequency group - binary,vitamin_d_supplement_frequency,How often the participant uses a Vitamin D supplement,Occasionally (1-2 times/week),Never,None,None
vitamin_d_supplement_frequency_rare_cohort,frequency group - binary,vitamin_d_supplement_frequency,How often the participant uses a Vitamin D supplement,Rarely (a few times/month),Never,None,None
vitamin_d_supplement_frequency_regular_cohort,frequency group - binary,vitamin_d_supplement_frequency,How often the participant uses a Vitamin D supplement,Regularly (3-5 times/week),Never,None,None
weigth_decrease_cohort,binary (special matching/exclusion),weight_change,Has the participants weight has changed more than 10 lbs in the past year?,Decreased more than 10 pounds,Remained stable,None,None
weigth_increase_cohort,binary (special matching/exclusion),weight_change,Has the participants weight has changed more than 10 lbs in the past year?,Increased more than 10 pounds,Remained stable,None,None
whole_eggs_daily_cohort,frequency group - binary,whole_eggs,How frequently the participant consumes whole eggs (cooked or uncooked),Daily,Never,None,None
whole_eggs_occasional_cohort,frequency group - binary,whole_eggs,How frequently the participant consumes whole eggs (cooked or uncooked),Occasionally (1-2 times/week),Never,None,None
whole_eggs_rare_cohort,frequency group - binary,whole_eggs,How frequently the participant consumes whole eggs (cooked or uncooked),Rarely (a few times/month),Never,None,None
whole_eggs_regular_cohort,frequency group - binary,whole_eggs,How frequently the participant consumes whole eggs (cooked or uncooked),Regularly (3-5 times/week),Never,None,None
whole_grain_frequency_daily_cohort,frequency group - binary,whole_grain_frequency,The frequency with which the participant eats breads or pastas with whole grains,Daily,Never,None,None
whole_grain_frequency_occasional_cohort,frequency group - binary,whole_grain_frequency,The frequency with which the participant eats breads or pastas with whole grains,Occasionally (1-2 times/week),Never,None,None
whole_grain_frequency_rare_cohort,frequency group - binary,whole_grain_frequency,The frequency with which the participant eats breads or pastas with whole grains,Rarely (a few times/month),Never,None,None
whole_grain_frequency_regular_cohort,frequency group - binary,whole_grain_frequency,The frequency with which the participant eats breads or pastas with whole grains,Regularly (3-5 times/week),Never,None,None
